일순환량,사료종류,사료급이량,일평균폐사,백신접종여부,수온,전장(cm),체장(cm),어체중(g),Condition factor,심장질환,신장질환,비장질환,간장질환,복수,빈혈,궤양,안구질환,척추만곡,아가미부식,림포,탈장,기타,임상증상유무,Trichodina sp.,Scuticocilliates,ameoba,gyrodactylus,기생충유무,S. parauberis,L. garvieae,E. piscicida,P. damselae,V. ichthyoenteri,V. scophthalmi,세균감염유무,ALT,ALP,BUN,T P,CHOL,ALB,PHOS,Wgc1,Wgc2,Wgr1,Wgr2,Wgr6,Wgp2,Wgi3,Wbkr1,Wbkr2-1,Wbkr2-2,Wbkr5,Wbkr6,Wbki3-1,Wbki3-2,Whkr4,Whkr6,Whkr7,Whkp2,Whki2-1,Whki2-2,Wlc1,Wlr1,Wlp1,Wlr2-1,Wlr2-2,Wlr4,Wlr6,Wlr8,Wli3-1,Wli3-2,Wli6,Wsr5,Wsr6,Wsi2,Wsi3-1,Whr7,Whi3,Whi6-1,Whi6-2,Whi6-3,결과
20,0,0.0075,30,0,12.44,37.8,32.4,725.1,2.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,76,2.3,5.1,204,1.6,11.6,0,0,0,0,0,4,4,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,2
20,1,0.077,2,0,13.97,34.5,29,429.7,1.762,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,9,40,4.2,3.4,108,1.3,7.1,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,2
20,1,0.077,2,0,13.97,35.5,30.3,390.5,1.404,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,8,78,1.8,4.4,221,1.4,8.8,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2
20,1,0.077,2,0,13.97,34,28.9,427.2,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,201,4.9,5.4,538,1.6,8.2,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,1,0.077,2,0,13.97,32.9,28.8,402.8,1.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,10,63,11.9,4.7,183,1.7,5.5,0,0,0,0,0,4,4,0,4,0,0,0,8,0,0,0,0,8,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,2
20,1,0.077,2,0,13.97,35.1,29.4,438.7,1.726,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,7,78,2.6,4.3,314,1.4,9.1,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2
20,1,0.077,2,0,13.97,34.9,29.6,405.2,1.562,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,5,77,3,5,147,1.6,8.7,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,2
20,1,0.077,2,0,13.97,34.6,29.7,357.4,1.364,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,8,49,3.4,3.4,74,1.3,6.3,0,0,8,0,0,0,4,0,0,0,0,0,4,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2
20,1,0.077,2,0,13.97,35.8,30.6,462.7,1.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,113,3.3,4.6,373,1.4,6.5,0,0,4,0,0,4,4,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20,1,0.077,2,0,13.97,33.6,27.7,365.8,1.721,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,7,113,2,5.3,273,1.8,8.7,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2
