,수온,Condition factor,ALP,T P,Wgp2,Wgi3,Whkp2,Whki2-1,Wlr1,Wlr2-1,Wsi2,결과
62,17.57,2.049,101.0,3.6,0.0,4.0,0.0,0.0,8.0,8.0,0.0,1.0
63,17.57,2.202,46.0,2.6,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0
64,17.57,2.03,103.0,4.1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
65,17.57,2.306,165.0,4.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
66,17.57,1.521,109.0,5.0,0.0,4.0,0.0,0.0,8.0,0.0,4.0,1.0
67,17.57,1.691,221.0,4.3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
68,17.57,1.982,271.0,4.3,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0
69,17.57,1.717,94.0,4.0,0.0,4.0,0.0,0.0,8.0,8.0,0.0,1.0
70,17.57,1.755,151.0,4.8,0.0,4.0,0.0,0.0,8.0,4.0,0.0,1.0
71,17.57,1.412,66.0,4.7,0.0,4.0,0.0,0.0,4.0,4.0,4.0,1.0
72,17.57,1.732,174.0,5.6,0.0,4.0,4.0,0.0,8.0,8.0,0.0,2.0
73,17.57,1.743,59.0,3.3,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
74,17.57,1.768,301.0,4.3,0.0,4.0,8.0,4.0,8.0,0.0,4.0,1.0
75,16.89,2.015,198.0,5.1,0.0,0.0,8.0,0.0,0.0,0.0,4.0,1.0
76,16.89,1.888,147.0,4.7,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
77,16.89,2.023,114.0,4.6,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
78,16.89,1.91,233.0,4.8,0.0,0.0,8.0,8.0,0.0,0.0,4.0,1.0
79,16.89,2.012,101.0,4.2,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0
80,16.89,2.332,82.0,4.4,0.0,0.0,4.0,4.0,0.0,4.0,8.0,1.0
81,16.89,1.957,160.0,4.4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
82,16.89,2.291,163.0,5.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83,16.89,1.775,319.0,4.9,0.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0
84,16.89,1.876,294.0,4.9,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1.0
85,16.89,1.811,337.0,4.7,0.0,0.0,8.0,0.0,8.0,4.0,4.0,1.0
86,16.89,1.524,232.0,4.7,0.0,8.0,8.0,0.0,8.0,0.0,4.0,1.0
87,16.89,2.125,250.0,5.2,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
88,16.89,1.873,304.0,5.4,0.0,0.0,4.0,0.0,8.0,0.0,8.0,1.0
89,16.89,1.409,344.0,4.4,0.0,8.0,4.0,0.0,12.0,0.0,0.0,1.0
90,15.97,1.661,91.0,4.6,0.0,12.0,0.0,0.0,0.0,0.0,8.0,1.0
91,15.97,1.579,118.0,4.2,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0
92,15.97,1.401,212.0,4.1,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0
93,15.97,1.67,101.0,4.3,0.0,0.0,8.0,4.0,8.0,0.0,8.0,2.0
94,15.97,1.577,142.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
95,15.97,1.526,256.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
96,15.97,1.686,190.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
97,15.97,1.865,114.0,5.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
98,15.97,1.8,165.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
99,15.97,1.632,118.0,4.4,0.0,4.0,0.0,0.0,0.0,0.0,8.0,1.0
100,15.97,2.034,91.0,4.5,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0
101,15.97,1.745,190.0,5.1,0.0,0.0,0.0,0.0,4.0,0.0,8.0,1.0
102,15.97,1.953,114.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
103,15.97,1.424,278.0,4.8,0.0,0.0,8.0,0.0,8.0,0.0,12.0,2.0
104,15.97,1.813,322.0,4.8,0.0,4.0,0.0,0.0,0.0,0.0,8.0,1.0
105,17.38,1.805,188.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,17.38,1.626,131.0,5.2,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
107,17.38,1.821,126.0,5.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
108,17.38,1.918,201.0,5.6,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
109,17.38,2.517,144.0,5.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
110,17.38,1.98,256.0,5.2,0.0,4.0,4.0,8.0,4.0,0.0,4.0,1.0
111,17.38,1.998,168.0,5.3,0.0,4.0,4.0,0.0,4.0,4.0,4.0,1.0
112,17.38,2.016,174.0,5.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
113,17.38,2.208,116.0,5.0,0.0,4.0,0.0,8.0,0.0,0.0,4.0,1.0
114,17.38,2.002,131.0,5.6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
115,17.38,1.978,61.0,3.6,0.0,8.0,0.0,0.0,4.0,0.0,4.0,0.0
116,17.38,2.083,80.0,5.1,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
117,17.38,2.163,139.0,4.9,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
118,17.38,1.981,64.0,4.3,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0
