양식장,월,일순환량,사료종류,사료급이량,일평균폐사,백신접종여부,수온,DO,pH,ATP,세균수,전장(cm),체장(cm),어체중(g),간무게(g),HSI(%),Condition factor,심장질환,신장질환,비장질환,간장질환,복수,빈혈,궤양,안구질환,척추만곡,아가미부식,림포,탈장,기타,임상증상유무,Trichodina sp.,Scuticocilliates,ameoba,gyrodactylus,기생충유무,S. parauberis,L. garvieae,E. piscicida,P. damselae,V. ichthyoenteri,V. scophthalmi,세균감염유무,Ht,Hb,MCHC,ALT,ALP,TBIL,GGT,BUN,CREA,GLU,T P,CHOL,ALB,Ca,PHOS,Wgc1,Wgc2,Wgr1,Wgr2,Wgr6,Wgp2,Wgi3,Wbkr1,Wbkr2-1,Wbkr2-2,Wbkr5,Wbkr6,Wbki3-1,Wbki3-2,Whkr4,Whkr6,Whkr7,Whkp2,Whki2-1,Whki2-2,Wlc1,Wlr1,Wlp1,Wlr2-1,Wlr2-2,Wlr4,Wlr6,Wlr8,Wli3-1,Wli3-2,Wli6,Wii3,Wstr1,Wstr2,Wsti3,Wsr5,Wsr6,Wsi2,Wsi3-1,Whr7,Whi3,Whi6-1,Whi6-2,Whi6-3,Igc,Igr,Igp,Igi,Ibkr,Ibki,Ihkr,Ihkp,Ihki,Ilc,Ilr,Ilp,Ili,Iii,Istr,Isti,Isr,Isi,Ihr,Ihi,IC,IR,IP,II,Gill,Body kidney,Head kidney,Liver ,Intestine,Stomach,Spleen,Heart,Total,결과
12,4,20,1,0.0075,30,1,12.44,7.5,6.97,146,4400,38.7,32.4,682.3,11.37,1.666422395,2.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,22,7.32,33.25,7,82,null,null,2,null,68,5.2,216,1.6,13.9,10.5,0,0,0,0,0,0,4,0,2,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,4,2,8,0,0,4,0,0,0,0,0,0,0,0,8,0,4,0,2,0,28,4,10,4,0,0,0,8,4,30,2
12,4,20,1,0.0075,30,1,12.44,7.5,6.97,146,4400,34.8,29.5,483.1,10.72,2.219002277,1.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,28,3.68,13.13,10,77,0.1,null,2.3,null,75,7.2,360,1.7,15.8,10.5,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,8,1
12,4,20,1,0.0075,30,1,12.44,7.5,6.97,146,4400,33.6,28.1,424.6,6.87,1.617993406,1.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9.78,54.33,9,68,null,null,2.3,null,23,5.1,164,1.7,13.4,10,0,0,0,0,0,0,4,0,2,2,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,6,0,16,4,12,0,2,0,0,4,0,22,1
12,4,20,1,0.0075,30,1,12.44,7.5,6.97,146,4400,38.2,33,638.2,9.46,1.482293952,1.776,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,4.5,22.49,8,65,null,null,1.9,null,31,4.6,214,1.6,12.8,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,2,0,4,0,0,0,0,4,0,0,0,2,0,20,0,8,4,6,0,0,4,0,22,1
12,4,20,1,0.0075,30,1,12.44,7.5,6.97,146,4400,37.8,32.4,725.1,12.86,1.773548476,2.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5.12,24.4,9,76,null,null,2.3,null,36,5.1,204,1.6,13.4,11.6,0,0,0,0,0,4,4,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,4,0,8,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,8,20,8,8,4,0,0,0,4,4,28,2
13,4,20,2,0.077,2,1,13.97,7,6.98,164,69000,34.5,29,429.7,13.33,3.102164301,1.762,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,20,4.38,21.91,9,40,null,null,4.2,null,12,3.4,108,1.3,12.7,7.1,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,8,8,0,8,0,0,0,8,0,0,0,0,0,8,0,8,0,8,16,24,0,16,8,8,0,0,8,8,48,2
13,4,20,2,0.077,2,1,13.97,7,6.98,164,69000,35.5,30.3,390.5,6.78,1.736235595,1.404,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,21,7.2,34.28,8,78,null,null,1.8,null,52,4.4,221,1.4,13.4,8.8,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,8,0,8,0,0,0,4,0,0,0,0,0,4,0,0,0,4,12,12,0,12,8,4,0,0,4,0,28,2
13,4,20,2,0.077,2,1,13.97,7,6.98,164,69000,34,28.9,427.2,7.69,1.800093633,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,23,8.92,38.78,7,201,null,null,4.9,null,75,5.4,538,1.6,15.4,8.2,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,8,8,2,8,0,8,0,0,0,0,18,1
13,4,20,2,0.077,2,1,13.97,7,6.98,164,69000,32.9,28.8,402.8,8.92,2.21449851,1.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,24,6.42,26.73,10,63,null,null,11.9,null,8,4.7,183,1.7,12.5,5.5,0,0,0,0,0,4,4,0,4,0,0,0,8,0,0,0,0,8,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,8,0,0,0,0,0,4,4,4,8,0,8,0,2,2,0,0,0,2,0,0,8,0,8,2,8,12,28,8,12,8,4,0,2,8,8,50,2
13,4,20,2,0.077,2,1,13.97,7,6.98,164,69000,34.8,29.6,336.5,2.11,0.627043091,1.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,23,7.71,33.51,8,79,0.1,null,4.8,null,14,3.5,188,null,11.8,8.4,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,6,12,8,4,8,8,6,0,0,0,0,26,2
13,4,20,2,0.077,2,1,13.97,7,6.98,164,69000,35.1,29.4,438.7,4.95,1.128333713,1.726,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,22,6.3,28.63,7,78,null,null,2.6,null,26,4.3,314,1.4,13.7,9.1,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,8,0,4,0,0,6,0,0,0,0,0,0,4,0,0,0,6,4,16,4,8,4,6,0,0,4,0,26,2
13,4,20,2,0.077,2,1,13.97,7,6.98,164,69000,34.9,29.6,405.2,4.33,1.068608095,1.562,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,19,7.28,38.3,5,77,null,null,3,null,30,5,147,1.6,13.3,8.7,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,8,0,4,0,0,2,0,0,0,0,0,0,4,0,4,0,6,4,16,0,12,4,2,0,0,4,4,26,2
13,4,20,2,0.077,2,1,13.97,7,6.98,164,69000,34.6,29.7,357.4,5.92,1.656407387,1.364,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,8,1.21,15.16,8,49,null,null,3.4,null,12,3.4,74,1.3,11.1,6.3,0,0,8,0,0,0,4,0,0,0,0,0,4,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,4,0,4,0,12,0,0,6,0,0,0,0,0,0,8,0,0,0,14,12,16,12,4,12,6,0,0,8,0,42,2
13,4,20,2,0.077,2,1,13.97,7,6.98,164,69000,35.8,30.6,462.7,4.58,0.98984223,1.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,21,7.94,37.82,6,113,null,null,3.3,null,19,4.6,373,1.4,12.5,6.5,0,0,4,0,0,4,4,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,8,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,16,4,16,12,12,0,8,0,4,0,0,36,2
13,4,20,2,0.077,2,1,13.97,7,6.98,164,69000,33.6,27.7,365.8,4.77,1.303991252,1.721,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,14,3.01,21.52,7,113,0.1,null,2,null,25,5.3,273,1.8,13.7,8.7,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,8,0,8,0,6,2,0,0,0,0,0,0,0,0,4,8,2,8,12,2,8,8,8,0,0,0,4,30,2
13,4,20,2,0.077,2,1,13.97,7,6.98,164,69000,33.7,28.9,407.6,7.58,1.85966634,1.689,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,21,6.34,30.18,6,63,null,null,3,null,15,5.5,241,1.8,13.4,8.1,0,0,8,0,0,0,8,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,16,16,8,4,0,0,0,0,0,28,2
13,4,20,2,0.077,2,1,13.97,7,6.98,164,69000,36.4,31.2,560.9,13.75,2.451417365,1.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,18,6.77,37.6,8,75,0.11,null,4.8,null,8,4.6,110,1.9,12.7,6.9,0,0,8,0,0,0,0,0,4,4,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,8,0,8,0,0,0,8,0,0,2,0,0,0,0,0,0,18,16,8,8,16,8,8,0,2,0,0,42,2
13,4,20,2,0.077,2,1,13.97,7,6.98,164,69000,31.7,27.2,320.8,8.51,2.652743142,1.594,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,16,5.16,32.27,8,69,0.1,null,2.5,null,30,4.9,277,1.5,13.2,10.2,2,0,0,0,0,8,4,4,4,0,0,0,4,0,0,0,0,4,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,8,4,8,4,0,4,0,0,8,8,0,0,0,0,0,4,0,0,2,16,20,12,14,12,4,16,0,0,4,0,50,2
13,4,20,2,0.077,2,1,13.97,7,6.98,164,69000,35,30.9,434.7,4.12,0.947780078,1.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,20,7.63,38.14,10,160,0.1,null,3,null,46,5,768,1.5,13.6,8.8,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,0,4,0,6,0,8,0,0,0,0,14,1
13,4,20,2,0.077,2,1,13.97,7,6.98,164,69000,34.9,30.8,402.2,4.83,1.200895077,1.377,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,22,6.1,27.74,12,119,0.12,null,3.7,null,17,5.2,732,1.4,13.9,8.3,4,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,8,0,0,0,8,0,0,0,0,8,0,8,0,0,12,0,0,0,0,0,0,12,0,8,8,12,8,28,8,8,8,12,0,0,12,8,56,3
4,4,24,2,0.008,7,1,13.31,9.3,7.24,56,271000,37.3,32.4,498.4,5.75,1.153691814,1.465,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,18,7.47,41.48,26,79,0.12,null,2.8,null,60,5.7,235,1.7,null,12.9,0,0,0,0,0,0,0,0,4,4,0,0,8,0,0,0,0,8,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,12,0,0,0,0,0,0,0,8,8,0,8,8,0,6,0,0,0,0,0,8,4,0,12,0,22,8,32,0,16,16,6,0,0,12,12,62,3
4,4,24,2,0.008,7,1,13.31,9.3,7.24,56,271000,34.2,29.3,441.6,5.15,1.166213768,1.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,24,7.9,32.93,12,162,0.11,null,3.9,null,35,4.9,448,1.5,14.7,7.1,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,12,0,10,0,0,0,0,4,0,14,1
4,4,24,2,0.008,7,1,13.31,9.3,7.24,56,271000,39,34.1,709.2,12,1.692047377,1.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,26,7.03,27.04,9,152,0.1,null,2.5,null,37,6.5,1100,1.8,15.8,15.2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,20,0,8,0,4,0,0,0,8,20,1
4,4,24,2,0.008,7,1,13.31,9.3,7.24,56,271000,36.4,31.7,533.5,6.45,1.208997188,1.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,18,4.75,26.4,17,91,null,null,2.9,null,50,4.3,267,1.5,13.3,14.1,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,4,8,0,8,0,0,4,0,0,0,0,0,8,0,0,4,0,16,8,12,0,12,8,4,0,0,8,4,36,2
4,4,24,2,0.008,7,1,13.31,9.3,7.24,56,271000,31.3,26.8,287.4,4.37,1.52052888,1.493,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,12,0.34,2.83,11,33,null,null,6,null,20,3.1,75,1.1,12.4,15.2,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,8,8,0,8,0,0,6,0,0,0,0,0,0,4,0,8,0,14,8,20,0,16,8,6,0,0,4,8,42,2
4,4,24,2,0.008,7,1,13.31,9.3,7.24,56,271000,39,33.8,668.6,8.65,1.29374813,1.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9.02,39.21,12,175,0.11,null,2,null,65,5.9,858,1.6,null,12.8,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,12,0,4,0,8,0,4,0,0,4,0,16,1
4,4,24,2,0.008,7,1,13.31,9.3,7.24,56,271000,37.6,32.3,624.1,7.12,1.140842814,1.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,25,7.13,28.51,14,231,null,null,2.5,0.2,109,6.1,980,1.4,null,12.9,0,0,4,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,2,8,0,0,0,0,4,0,4,0,0,0,0,0,0,8,0,10,0,20,4,10,0,8,0,0,0,8,30,2
4,4,24,2,0.008,7,1,13.31,9.3,7.24,56,271000,38,32.8,674,7.6,1.127596439,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9.31,38.79,10,210,0.11,null,2.5,null,57,5.5,882,1.4,15.5,12.8,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,12,0,0,0,0,0,0,12,1
